Semi-Annual Year,Toyota,Honda,Mazda,Nissan,Subaru,CPI,Finance Rate of New Car (Weighted) ,New Car Loan Amt.,GDP Growth
H1 2008,1034500,715289,153141,462452,118806,135.532,6.19,24332.18,1.07
H2 2008,806167,564814,110708,384328,100349,132.855,5.59,24801.3,-1.97
H1 2009,665452,479696,100381,309296,94722,134.636,5.21,25372.99,-2.94
H2 2009,841928,565365,107296,382537,115333,136.611,5.18,25278.82,1.46
H1 2010,719105,532792,115719,393032,126036,138.27,4.83,25713.35,2.89
H2 2010,770432,564080,113857,412127,137960,137.741,4.58,25240.41,2.19
H1 2011,702149,546762,122379,457705,132049,141.159,4.41,24900.15,1.63
H2 2011,600064,477223,128047,486368,134620,142.608,4.5,25341.84,2.49
H1 2012,915360,726945,169448,620836,182332,144.234,4.64,25216.84,2.96
H2 2012,879276,638613,133253,499435,166120,144.23,4.64,25464.73,1.24
H1 2013,955376,668597,144943,572476,205140,146.001,4.79,25501.78,1.75
H2 2013,952396,691276,139002,559489,220086,145.566,4.56,25670.48,2.83
H1 2014,996262,661484,156430,645136,238008,146.358,5.02,26013.41,3.05
H2 2014,1022095,711705,149371,624698,275685,146.192,4.75,26562.97,1.21
H1 2015,1047661,665914,158997,672203,272418,147.509,5.29,27102.32,2.75
H2 2015,1059298,743472,160188,680390,314207,146.761,4.98,27841.88,0.18
H1 2016,998516,713362,144896,733436,279458,147.79,5.15,28133.35,1.82
H2 2016,1062340,763131,152419,692994,335714,146.926,4.96,29067.93,2.08
H1 2017,1020228,717745,141624,740545,304810,148.356,5.36,28851.66,2.04
H2 2017,1109883,767005,147845,699504,343146,145.629,5.37,29724.34,3.44
H1 2018,1069138,714901,163924,708525,322860,146.585,5.7,30138.43,2.97
H2 2018,1150102,730726,136401,636072,357289,145.988,6.57,30207.5,1.15
H1 2019,946373,703428,138553,653978,339525,147.498,6.58,31018.01,2.56
H2 2019,894353,747557,139997,573995,361092,146.17,6.24,31603.1,1.99
H1 2020,786973,536297,128869,393365,267710,147.253,5.47,34699.42,-9.18
H2 2020,1050525,663508,150207,444397,334828,147.948,5.03,34199.25,10.87
H1 2021,989126,745126,184703,546764,321250,150.849,4.83,34061.15,14.15
H2 2021,858473,563350,143534,372326,277840,161.632,4.46,36552.33,6.9
H1 2022,881473,453347,142803,362459,263795,169.543,4.7,38017.92,3.53
H2 2022,878485,427854,152106,320290,296786,175.417,5.77,39781.35,3.25
H1 2023,875959,557890,185473,447882,304689,178.539,6.51,38877.78,2.29
H2 2023,850312,598701,179571,386209,328595,179.259,6.86,38553.4,3.72
H1 2024,1019429,626266,202486,461433,322443,178.274,6.29,39076.84,3.03
H2 2024,967505,665224,221896,398585,345390,177.499,6.12,39695.96,2.65
H1 2025,1058767,670765,210298,457485,321775,178.363,6.51,39879.51,2.57
